customer_id,tenure,subscription_tier,monthly_fee,payment_method,paperless_billing,device_count,content_hours_per_month,has_family_plan,support_tickets_ytd,profile_count,days_since_last_login,email_verified,lifetime_value_estimate,churned
AUR-00001,47,Plus,12.38,Debit Card,Yes,1,35.5,No,0,3,5,Yes,1283.18,No
AUR-00002,52,Plus,14.01,Credit Card,No,2,30.6,No,4,1,5,Yes,431.13,No
AUR-00003,19,Premium,20.62,Gift Card,Yes,3,36.9,Yes,1,1,2,Yes,519.33,Yes
AUR-00004,26,Plus,14.68,Credit Card,No,2,39.5,Yes,1,2,2,Yes,412.32,No
AUR-00005,68,Basic,7.95,Credit Card,Yes,2,20.7,No,0,2,5,Yes,247.33,Yes
AUR-00006,62,Premium,18.08,Gift Card,Yes,2,31.6,No,2,3,19,Yes,3191.6,No
AUR-00007,30,Plus,15.08,PayPal,Yes,4,28.2,No,3,1,9,Yes,423.63,No
AUR-00008,17,Premium,18.32,PayPal,No,4,98.9,No,1,3,10,Yes,268.94,No
AUR-00009,21,Basic,9.47,PayPal,No,1,72.1,No,3,2,4,Yes,427.22,Yes
AUR-00010,39,Plus,13.07,Debit Card,No,2,57.8,No,1,1,2,Yes,1445.96,Yes
AUR-00011,41,Basic,8.38,Credit Card,Yes,4,23.1,No,2,4,29,Yes,408.97,Yes
AUR-00012,13,Premium,15.0,Credit Card,No,2,64.5,No,1,2,19,Yes,587.16,No
AUR-00013,4,Plus,14.01,PayPal,Yes,3,26.1,No,1,1,18,Yes,89.85,No
AUR-00014,36,Premium,17.03,PayPal,Yes,3,64.9,No,1,1,10,Yes,971.39,No
AUR-00015,58,Plus,14.21,Credit Card,Yes,2,36.2,No,1,3,16,Yes,583.52,Yes
AUR-00016,11,Basic,7.34,Credit Card,No,2,79.3,No,0,6,13,Yes,89.45,No
AUR-00017,29,Plus,15.85,Credit Card,Yes,3,16.2,No,1,2,3,Yes,448.43,No
AUR-00018,11,Basic,8.7,Credit Card,Yes,3,63.1,No,0,3,30,Yes,187.27,No
AUR-00019,17,Premium,18.73,PayPal,Yes,4,83.1,Yes,0,2,16,Yes,217.79,No
AUR-00020,44,Plus,12.21,Credit Card,Yes,4,37.4,Yes,1,2,6,Yes,872.05,Yes
AUR-00021,20,Plus,12.9,Credit Card,Yes,4,35.8,No,2,3,2,Yes,276.97,No
AUR-00022,19,Basic,10.31,PayPal,No,1,42.5,No,0,2,2,Yes,166.29,No
AUR-00023,72,Premium,18.3,Debit Card,Yes,3,57.4,No,2,1,10,Yes,1829.8,No
AUR-00024,12,Premium,15.0,Debit Card,Yes,5,29.8,No,2,2,7,No,135.32,No
AUR-00025,13,Plus,17.36,Credit Card,Yes,4,27.0,Yes,1,2,4,Yes,262.65,No
AUR-00026,67,Basic,9.45,Credit Card,Yes,1,107.2,Yes,1,4,10,Yes,634.83,No
AUR-00027,40,Plus,13.66,Credit Card,Yes,6,34.7,No,2,2,8,Yes,775.03,Yes
AUR-00028,3,Basic,11.01,Credit Card,Yes,1,41.0,No,3,6,6,Yes,138.2,No
AUR-00029,31,Basic,9.17,Credit Card,Yes,1,32.2,Yes,2,2,2,Yes,498.79,No
AUR-00030,41,Plus,11.72,Credit Card,Yes,4,60.0,Yes,1,1,8,Yes,287.05,No
AUR-00031,18,Plus,13.29,Credit Card,No,2,28.2,No,2,2,21,Yes,141.82,No
AUR-00032,40,Premium,18.32,Credit Card,Yes,3,39.0,Yes,2,1,2,Yes,552.86,No
AUR-00033,47,Basic,11.44,Gift Card,Yes,3,74.5,No,0,1,20,Yes,783.03,No
AUR-00034,18,Basic,9.17,Credit Card,No,3,69.0,No,1,3,21,No,212.92,No
AUR-00035,59,Plus,11.0,Credit Card,Yes,2,34.3,No,0,3,9,Yes,309.01,No
AUR-00036,33,Basic,9.01,PayPal,No,2,43.1,No,3,3,9,Yes,411.83,Yes
AUR-00037,70,Basic,7.71,Credit Card,No,1,23.9,No,0,2,8,Yes,525.92,No
AUR-00038,6,Plus,14.28,Debit Card,No,1,43.1,No,0,1,11,Yes,59.28,No
AUR-00039,23,Basic,10.1,PayPal,Yes,2,118.4,No,3,2,5,Yes,356.19,Yes
AUR-00040,52,Plus,14.96,Debit Card,Yes,3,66.4,No,2,4,13,Yes,823.68,No
AUR-00041,65,Plus,12.9,Credit Card,Yes,1,23.8,No,2,1,1,No,2220.76,No
AUR-00042,16,Premium,18.58,PayPal,Yes,1,14.6,Yes,0,3,37,No,470.23,No
AUR-00043,71,Plus,13.43,Debit Card,No,4,24.2,No,3,2,15,Yes,1022.9,No
AUR-00044,14,Basic,8.49,Credit Card,Yes,1,18.8,No,3,2,10,Yes,155.01,Yes
AUR-00045,30,Premium,20.04,Credit Card,No,1,39.2,Yes,3,1,14,Yes,612.88,Yes
AUR-00046,22,Premium,16.94,Credit Card,Yes,2,78.1,No,0,2,8,Yes,372.63,No
AUR-00047,30,Plus,15.1,PayPal,Yes,4,39.5,No,1,3,13,Yes,756.8,No
AUR-00048,65,Basic,8.34,Credit Card,Yes,1,28.4,No,2,3,8,Yes,1137.12,No
AUR-00049,53,Plus,11.89,Credit Card,No,2,34.8,No,2,1,5,Yes,647.16,No
AUR-00050,58,Basic,10.27,Debit Card,Yes,3,56.6,No,0,2,12,Yes,815.63,Yes
AUR-00051,18,Basic,10.15,PayPal,No,4,46.9,No,2,3,10,Yes,64.69,No
AUR-00052,69,Basic,10.12,Credit Card,Yes,2,24.6,No,1,3,12,Yes,944.74,Yes
AUR-00053,31,Premium,15.0,Credit Card,No,2,66.6,Yes,2,5,5,Yes,370.14,No
AUR-00054,47,Plus,12.4,Credit Card,Yes,4,21.5,No,0,2,1,Yes,683.06,No
AUR-00055,50,Plus,13.72,Debit Card,No,4,45.1,Yes,2,3,9,Yes,945.43,No
