subscriber_id,tenure_months,plan_type,monthly_price,items_per_box,referral_count,boxes_skipped_ytd,gift_subscription,payment_method,loyalty_points_balance,app_installed,avg_review_rating,social_media_follower,subscriber_value_estimate,unsubscribed
CAS-00001,2,Curated,37.46,2,0,2,No,Debit Card,290,No,4.5,Yes,216.03,Yes
CAS-00002,42,Curated,35.36,2,1,1,No,Buy Now Pay Later,89,Yes,4.7,No,2346.76,Yes
CAS-00003,13,Curated,30.84,5,1,0,No,Credit Card,116,Yes,4.5,No,560.23,No
CAS-00004,20,Curated,30.71,4,2,3,No,Buy Now Pay Later,1009,No,4.1,No,1197.96,Yes
CAS-00005,36,Curated,36.95,7,2,2,No,Credit Card,512,Yes,4.0,Yes,578.33,Yes
CAS-00006,39,Curated,34.33,4,0,0,No,Credit Card,27,No,3.3,Yes,2900.43,No
CAS-00007,33,Basic,19.7,3,1,3,No,Credit Card,376,Yes,4.7,Yes,538.66,Yes
CAS-00008,10,Deluxe,59.05,8,3,2,No,Credit Card,492,Yes,3.8,No,477.48,No
CAS-00009,21,Basic,22.71,5,0,4,No,Debit Card,348,No,4.5,No,678.77,Yes
CAS-00010,34,Basic,20.23,4,1,2,No,Debit Card,50,No,3.7,No,797.96,Yes
CAS-00011,41,Curated,30.96,5,1,3,No,Debit Card,186,No,4.5,No,1431.96,Yes
CAS-00012,12,Curated,33.42,6,1,0,Yes,Debit Card,404,Yes,3.1,No,417.7,No
CAS-00013,4,Basic,21.45,7,0,1,No,Credit Card,236,Yes,3.3,No,181.57,Yes
CAS-00014,46,Deluxe,55.97,10,0,4,No,Debit Card,369,No,4.1,No,2034.6,No
CAS-00015,13,Basic,18.3,6,1,1,No,PayPal,77,Yes,5.0,No,260.28,Yes
CAS-00016,38,Deluxe,66.89,6,1,1,No,Credit Card,254,Yes,4.0,No,1356.06,Yes
CAS-00017,8,Basic,19.07,5,0,0,No,Debit Card,676,Yes,4.5,No,563.32,Yes
CAS-00018,1,Deluxe,52.48,9,0,0,No,PayPal,146,Yes,4.8,No,129.12,No
CAS-00019,21,Curated,33.58,6,2,2,No,Credit Card,154,Yes,4.1,No,838.55,No
CAS-00020,5,Basic,21.03,5,0,0,No,Debit Card,144,No,4.8,No,323.46,No
CAS-00021,30,Basic,19.46,5,1,0,No,Credit Card,420,Yes,2.9,No,938.32,Yes
CAS-00022,30,Basic,24.03,4,1,0,No,Credit Card,888,Yes,4.5,No,1117.67,Yes
CAS-00023,39,Curated,36.95,10,0,0,No,PayPal,415,No,3.2,No,1118.72,No
CAS-00024,35,Curated,31.58,3,0,1,No,Debit Card,80,Yes,4.0,Yes,1468.95,Yes
CAS-00025,38,Basic,23.84,5,0,1,No,Credit Card,413,No,3.4,No,1179.21,No
CAS-00026,11,Deluxe,57.43,4,0,4,No,Credit Card,68,No,3.6,No,1732.82,No
CAS-00027,40,Basic,17.79,6,0,2,No,Debit Card,7,Yes,3.4,No,452.88,No
CAS-00028,27,Curated,35.61,5,0,1,Yes,PayPal,1358,No,5.0,No,1712.22,No
CAS-00029,26,Curated,37.37,5,1,0,No,Debit Card,901,Yes,2.9,No,1312.42,No
CAS-00030,20,Deluxe,61.19,8,1,1,No,PayPal,333,No,4.1,Yes,1391.55,No
CAS-00031,5,Deluxe,56.23,4,2,0,No,Credit Card,345,Yes,5.0,No,405.39,No
CAS-00032,37,Basic,24.5,4,1,2,No,Credit Card,959,No,5.0,No,1600.99,Yes
CAS-00033,2,Basic,19.41,4,0,0,No,PayPal,626,Yes,3.7,Yes,287.72,Yes
CAS-00034,7,Curated,35.09,6,0,1,No,Credit Card,100,Yes,4.4,No,230.17,No
CAS-00035,36,Curated,31.85,2,0,1,No,Credit Card,82,No,3.4,No,1444.66,Yes
CAS-00036,25,Basic,20.05,8,1,1,No,Credit Card,139,No,3.0,No,480.1,Yes
CAS-00037,37,Basic,22.51,9,0,1,No,Credit Card,668,Yes,4.1,Yes,1267.77,No
CAS-00038,45,Basic,24.68,6,1,1,No,Credit Card,495,Yes,4.9,Yes,1439.01,No
