client_id,account_tenure,portfolio_tier,annual_fee_revenue,advisor_assigned,contact_frequency_per_year,num_accounts_held,digital_logins_per_month,referred_by_client,risk_tolerance_profile,estate_planning_client,avg_response_time_hours,has_joint_account,portfolio_value_estimate,left_firm
FVW-00001,24,Premier,6678.76,Yes,3,4,2,No,Moderate,No,5.0,No,72843.05,No
FVW-00002,18,Core,2354.49,No,2,6,6,Yes,Moderate,No,3.9,No,54553.09,No
FVW-00003,2,Premier,5970.42,No,4,2,5,No,Conservative,Yes,8.3,No,11390.51,Yes
FVW-00004,18,Premier,5408.39,Yes,5,7,5,No,Moderate,No,28.4,Yes,112060.65,No
FVW-00005,23,Premier,4238.22,No,3,1,1,Yes,Conservative,Yes,11.8,Yes,220966.99,No
FVW-00006,21,Core,2563.89,No,2,1,4,Yes,Conservative,No,3.9,No,57022.16,No
FVW-00007,1,Private,16753.81,No,6,1,3,No,Moderate,No,17.7,Yes,38227.03,No
FVW-00008,21,Core,2893.48,No,4,2,7,No,Conservative,No,15.0,Yes,71330.26,Yes
FVW-00009,16,Core,2210.8,No,2,2,1,No,Conservative,No,22.6,Yes,28550.39,Yes
FVW-00010,10,Core,2155.92,Yes,3,2,1,No,Moderate,No,2.4,Yes,30853.23,No
FVW-00011,11,Private,11352.14,Yes,3,5,1,No,Conservative,No,35.3,Yes,189426.4,No
FVW-00012,3,Private,15295.73,Yes,4,1,1,Yes,Moderate,No,12.1,No,30934.13,No
FVW-00013,9,Core,2331.2,No,6,4,6,Yes,Aggressive,No,14.5,No,28094.12,No
FVW-00014,7,Private,13452.63,Yes,6,2,1,No,Aggressive,Yes,3.2,Yes,64214.97,No
FVW-00015,0,Core,2543.77,Yes,5,3,3,No,Conservative,No,8.8,No,0.0,No
FVW-00016,14,Private,14351.74,Yes,6,2,4,No,Moderate,Yes,12.2,No,137022.89,No
FVW-00017,14,Core,2020.01,Yes,4,5,2,No,Aggressive,No,5.3,Yes,14353.47,No
FVW-00018,18,Premier,5128.96,No,5,2,4,No,Moderate,No,14.8,No,28235.27,No
FVW-00019,4,Core,2373.9,No,4,2,3,No,Conservative,No,9.8,Yes,5974.17,No
FVW-00020,7,Premier,6764.99,Yes,3,1,2,No,Moderate,No,12.2,No,71755.75,No
FVW-00021,19,Premier,5583.07,No,6,2,4,No,Aggressive,No,7.1,No,72373.21,No
FVW-00022,9,Private,17108.64,Yes,4,4,4,No,Conservative,No,9.5,Yes,138667.04,No
FVW-00023,14,Core,2362.92,Yes,2,4,5,No,Moderate,Yes,12.6,No,51711.25,Yes
FVW-00024,7,Core,2245.52,No,2,1,3,No,Moderate,No,17.3,No,0.0,Yes
FVW-00025,14,Premier,7035.02,No,6,4,3,No,Conservative,Yes,20.6,No,66843.38,No
FVW-00026,14,Private,16558.47,Yes,3,4,2,No,Aggressive,No,8.5,No,193123.64,No
FVW-00027,2,Core,2619.62,No,2,3,3,No,Aggressive,No,13.6,No,7713.42,Yes
FVW-00028,0,Premier,4301.43,No,4,2,3,Yes,Moderate,No,0.7,No,0.0,No
FVW-00029,18,Core,2104.07,Yes,4,3,4,No,Aggressive,No,6.3,No,70073.47,No
FVW-00030,8,Core,2720.53,Yes,5,2,6,No,Moderate,No,22.0,No,17516.34,No
FVW-00031,5,Core,2347.93,Yes,3,3,3,No,Aggressive,No,4.5,No,22917.61,No
FVW-00032,23,Private,14975.15,No,3,3,2,No,Moderate,Yes,6.5,No,263126.06,No
FVW-00033,5,Private,14922.07,Yes,5,3,5,No,Moderate,Yes,11.0,No,159055.07,No
FVW-00034,4,Core,1720.1,No,2,2,4,No,Moderate,No,10.8,No,8635.05,No
FVW-00035,7,Premier,6131.12,Yes,3,3,5,No,Conservative,No,20.4,No,42258.79,No
FVW-00036,22,Core,1662.98,No,2,2,3,Yes,Moderate,No,7.8,No,15009.48,No
FVW-00037,15,Private,12785.77,Yes,5,1,3,No,Moderate,Yes,4.3,No,265428.09,No
FVW-00038,18,Core,2402.42,Yes,6,5,0,No,Moderate,No,5.3,No,50555.95,No
FVW-00039,14,Premier,5425.6,No,5,2,7,Yes,Conservative,No,6.5,Yes,57507.01,No
FVW-00040,16,Premier,7465.17,Yes,3,2,5,No,Moderate,No,6.2,Yes,162513.38,No
FVW-00041,5,Core,1917.16,Yes,4,4,4,No,Conservative,No,7.8,No,16753.24,No
FVW-00042,17,Core,2119.47,No,5,1,5,No,Moderate,Yes,6.6,No,20618.18,Yes
FVW-00043,22,Core,1906.18,No,6,5,3,No,Aggressive,No,12.0,Yes,27020.04,No
FVW-00044,8,Core,2478.47,Yes,2,1,3,No,Conservative,Yes,7.5,No,18607.28,No
FVW-00045,7,Core,1561.26,No,3,3,5,Yes,Moderate,No,9.0,No,14674.6,No
FVW-00046,19,Premier,5522.38,Yes,4,3,3,No,Moderate,Yes,1.6,No,59973.16,No
FVW-00047,16,Premier,5662.67,No,4,3,3,Yes,Conservative,No,22.7,Yes,70780.49,No
FVW-00048,24,Premier,4878.13,Yes,4,3,6,Yes,Conservative,Yes,17.6,No,147875.41,No
FVW-00049,12,Core,2460.36,No,3,3,3,No,Conservative,No,8.0,Yes,29063.78,No
FVW-00050,3,Private,16845.5,No,6,4,3,No,Moderate,No,4.5,No,56683.19,No
FVW-00051,23,Premier,7115.59,Yes,6,5,5,Yes,Moderate,Yes,8.9,No,152545.85,No
FVW-00052,17,Premier,4548.29,Yes,3,2,2,No,Conservative,No,42.1,No,60315.14,No
FVW-00053,16,Private,16742.88,Yes,2,1,9,No,Moderate,Yes,3.0,Yes,185252.36,No
