account_id,tenure_months,contract_length,monthly_bill,num_locations,support_tickets_ytd,bandwidth_tier,sla_uptime_pct,years_in_business,has_backup_line,dedicated_support_rep,employee_count,autopay_enabled,account_value_estimate,terminated
NGB-00001,6,Flex,373.29,2,2,Enterprise,99.51,12,No,No,391,Yes,1311.07,Yes
NGB-00002,66,Standard,620.53,2,6,Standard,99.38,15,No,No,20,Yes,37201.94,No
NGB-00003,43,Standard,447.35,2,0,Standard,99.99,9,Yes,No,300,Yes,20188.93,No
NGB-00004,58,Standard,601.42,5,1,High,99.99,26,No,No,55,No,63350.23,No
NGB-00005,34,Standard,559.57,2,3,Standard,98.54,20,No,No,113,Yes,15911.37,No
NGB-00006,4,Standard,502.6,3,6,Standard,99.79,25,No,No,214,Yes,1382.27,No
NGB-00007,56,Standard,420.0,3,5,Standard,99.7,23,No,No,370,No,36758.35,No
NGB-00008,39,Standard,543.31,4,3,Standard,99.73,2,No,No,381,No,12622.61,No
NGB-00009,32,Flex,525.4,2,2,Standard,99.68,27,No,No,280,Yes,18181.08,Yes
NGB-00010,41,Flex,407.42,4,2,Enterprise,99.33,28,Yes,Yes,428,Yes,23406.44,Yes
NGB-00011,82,Standard,725.1,3,2,Standard,99.99,34,No,No,12,Yes,78796.97,No
NGB-00012,51,Term,630.81,3,6,High,98.43,9,Yes,Yes,95,No,64331.08,No
NGB-00013,71,Flex,417.74,4,1,Standard,98.72,18,No,No,21,Yes,37802.81,Yes
NGB-00014,63,Term,633.29,3,1,High,99.02,27,No,Yes,218,No,40921.41,No
NGB-00015,65,Term,864.03,2,3,Enterprise,99.62,32,Yes,No,443,Yes,67388.35,No
NGB-00016,15,Standard,638.2,3,4,High,99.18,23,No,No,318,Yes,8828.78,Yes
NGB-00017,41,Standard,675.23,1,3,Standard,99.53,7,Yes,Yes,434,Yes,47370.52,No
NGB-00018,47,Standard,615.7,4,2,High,99.18,30,No,No,168,No,27783.03,No
