member_id,tenure_months,membership_tier,monthly_dues,visit_frequency_per_month,personal_training_addon,group_classes_per_month,has_locker_rental,referred_by_member,payment_method,avg_session_minutes,app_engagement_score,has_nutrition_plan,membership_value_estimate,cancelled
PAL-00001,60,Core,42.1,5.1,No,6,No,No,Bank Draft,75.5,79,No,1852.45,Yes
PAL-00002,0,Core,40.74,1.3,No,2,Yes,No,Credit Card,45.6,77,No,0.0,No
PAL-00003,46,Elite,77.9,13.6,Yes,4,No,No,Credit Card,52.6,74,No,3672.06,No
PAL-00004,19,Basic,25.17,15.3,No,3,No,Yes,Debit Card,53.0,0,No,966.32,No
PAL-00005,18,Basic,23.26,2.4,No,4,No,No,Debit Card,60.4,56,No,346.15,Yes
PAL-00006,55,Elite,77.46,6.8,Yes,1,No,No,Debit Card,68.5,85,No,3409.71,No
PAL-00007,54,Elite,91.44,7.2,Yes,2,No,No,Bank Draft,55.7,25,Yes,7758.23,No
PAL-00008,52,Basic,24.73,6.0,No,3,Yes,No,Credit Card,84.3,89,No,1218.86,Yes
PAL-00009,44,Basic,21.52,12.0,No,1,No,No,Credit Card,48.4,69,No,1169.11,No
PAL-00010,26,Core,47.99,9.5,No,1,No,No,Bank Draft,68.8,41,No,1743.65,No
PAL-00011,29,Basic,24.29,4.3,No,1,Yes,Yes,Credit Card,55.3,61,No,771.35,No
PAL-00012,49,Core,45.56,9.5,No,2,No,Yes,Debit Card,54.0,37,Yes,1011.42,No
PAL-00013,57,Basic,29.88,4.1,Yes,2,No,No,Credit Card,35.0,62,Yes,2340.43,No
PAL-00014,17,Core,43.36,2.1,No,1,No,No,Credit Card,60.2,50,No,465.93,No
PAL-00015,35,Basic,22.93,14.9,No,4,No,No,Bank Draft,48.9,96,No,370.79,No
PAL-00016,35,Core,39.71,17.5,No,4,No,No,Debit Card,51.6,24,Yes,2946.38,No
PAL-00017,8,Core,43.51,2.5,No,0,Yes,Yes,Debit Card,51.8,99,No,650.07,No
