viewer_id,months_subscribed,plan_level,monthly_rate,devices_registered,weekly_watch_hours,autoplay_next_episode,payment_method,binge_sessions_per_month,signup_channel,num_profiles,days_since_last_watch,parental_controls_enabled,projected_lifetime_value,subscription_lapsed
SOL-00001,9,Ultra,16.38,3,3.9,Yes,Credit Card,6,App Store,4,7,No,289.58,No
SOL-00002,11,Ad-Lite,5.34,2,10.6,Yes,PayPal,4,Web,3,2,No,110.75,No
SOL-00003,4,Ad-Lite,6.06,1,3.2,Yes,PayPal,3,Partner Bundle,4,2,No,44.73,Yes
SOL-00004,7,Ad-Lite,5.95,3,25.3,No,Credit Card,2,App Store,1,3,No,48.81,No
SOL-00005,8,Standard,12.13,2,8.9,Yes,Mobile Carrier Billing,2,Web,1,25,No,91.94,Yes
SOL-00006,17,Standard,12.72,1,3.2,Yes,Credit Card,4,App Store,2,2,No,328.79,No
SOL-00007,9,Ad-Lite,5.93,1,4.0,Yes,PayPal,2,App Store,3,14,No,18.34,No
SOL-00008,15,Standard,12.84,1,9.3,Yes,PayPal,1,Web,2,1,No,148.75,No
SOL-00009,30,Standard,11.73,3,3.4,No,PayPal,2,App Store,1,14,Yes,141.44,Yes
SOL-00010,6,Standard,10.71,1,0.6,Yes,Mobile Carrier Billing,2,Partner Bundle,1,12,No,27.91,No
SOL-00011,4,Standard,9.23,1,7.2,Yes,PayPal,3,Web,3,7,No,40.87,No
SOL-00012,7,Ultra,17.67,2,11.0,No,Mobile Carrier Billing,1,App Store,3,13,No,58.98,No
SOL-00013,15,Ad-Lite,5.92,2,4.6,No,PayPal,4,App Store,2,5,No,105.63,Yes
SOL-00014,16,Ultra,16.25,3,5.2,Yes,Credit Card,1,App Store,2,4,No,185.62,Yes
SOL-00015,40,Ad-Lite,7.04,5,4.8,No,Mobile Carrier Billing,4,App Store,1,2,No,243.12,Yes
SOL-00016,10,Ad-Lite,6.09,3,7.8,No,Credit Card,7,App Store,1,11,No,120.87,Yes
SOL-00017,6,Standard,12.25,4,8.8,Yes,Gift Card,6,App Store,1,10,No,111.16,Yes
SOL-00018,18,Standard,12.04,2,3.8,Yes,Credit Card,6,Web,3,4,Yes,508.36,No
SOL-00019,6,Standard,10.98,3,8.8,No,Mobile Carrier Billing,2,App Store,3,6,No,137.43,No
SOL-00020,8,Standard,11.4,2,14.7,Yes,Credit Card,0,Web,2,13,No,117.61,No
SOL-00021,28,Ultra,14.53,3,2.8,No,PayPal,7,Web,1,6,No,473.66,No
SOL-00022,24,Standard,14.09,4,8.8,Yes,Mobile Carrier Billing,7,Web,2,8,No,343.62,No
SOL-00023,12,Standard,10.7,4,3.6,Yes,Mobile Carrier Billing,4,Partner Bundle,2,6,No,124.87,Yes
SOL-00024,18,Ultra,17.28,2,3.8,No,Credit Card,5,App Store,3,10,No,380.32,No
SOL-00025,11,Standard,9.83,5,3.3,Yes,PayPal,3,Partner Bundle,3,5,No,60.82,No
SOL-00026,9,Standard,12.25,2,13.4,Yes,Credit Card,4,App Store,2,5,Yes,337.51,No
SOL-00027,7,Ad-Lite,6.98,4,9.1,No,Credit Card,6,Web,1,19,No,0.0,No
SOL-00028,28,Standard,11.15,3,10.4,Yes,Mobile Carrier Billing,6,App Store,4,11,No,418.12,No
SOL-00029,15,Ad-Lite,6.24,1,1.5,Yes,PayPal,2,Partner Bundle,1,15,No,152.0,Yes
SOL-00030,17,Ultra,17.32,3,10.7,Yes,PayPal,4,App Store,2,9,Yes,0.55,No
SOL-00031,22,Ad-Lite,6.69,2,1.8,Yes,Credit Card,4,App Store,1,4,No,79.89,No
SOL-00032,23,Ad-Lite,6.41,3,8.1,Yes,Mobile Carrier Billing,1,App Store,2,19,No,144.58,Yes
SOL-00033,3,Ad-Lite,5.34,2,2.5,Yes,Mobile Carrier Billing,4,Web,2,12,No,42.04,Yes
SOL-00034,19,Ad-Lite,5.7,2,6.8,Yes,Credit Card,3,App Store,2,9,No,155.7,Yes
SOL-00035,5,Standard,13.01,3,15.5,No,PayPal,2,App Store,3,7,No,109.75,Yes
SOL-00036,7,Standard,11.98,1,10.8,Yes,Credit Card,2,Partner Bundle,1,3,Yes,179.1,No
SOL-00037,31,Standard,9.49,3,7.5,Yes,Mobile Carrier Billing,4,Web,3,9,Yes,345.99,No
SOL-00038,18,Ultra,16.31,5,11.4,No,Mobile Carrier Billing,2,Partner Bundle,2,5,No,510.84,Yes
SOL-00039,33,Standard,11.72,2,2.5,Yes,Credit Card,4,Partner Bundle,2,4,No,273.08,No
SOL-00040,22,Ultra,19.67,2,10.3,Yes,Credit Card,2,App Store,3,11,Yes,557.44,No
SOL-00041,9,Ultra,16.91,3,4.3,Yes,Mobile Carrier Billing,6,Web,2,3,No,270.46,No
SOL-00042,19,Ultra,15.68,2,12.5,Yes,Credit Card,5,App Store,3,14,Yes,559.44,No
SOL-00043,34,Ad-Lite,7.05,3,7.7,Yes,Credit Card,2,App Store,3,11,No,205.2,Yes
SOL-00044,13,Ultra,17.96,3,4.5,No,Credit Card,2,Partner Bundle,2,9,Yes,334.41,No
SOL-00045,4,Standard,11.4,2,1.2,Yes,Gift Card,5,Web,3,4,No,104.26,Yes
SOL-00046,5,Standard,12.94,2,4.6,No,Credit Card,2,App Store,4,9,No,185.91,Yes
SOL-00047,24,Standard,12.15,4,10.5,No,PayPal,4,Web,3,29,No,220.95,Yes
SOL-00048,12,Ad-Lite,6.23,1,6.7,Yes,Credit Card,2,Web,2,3,No,110.55,Yes
SOL-00049,5,Ad-Lite,5.49,2,6.0,Yes,PayPal,2,Web,1,14,No,72.07,Yes
SOL-00050,25,Standard,12.4,3,9.9,No,Gift Card,8,Partner Bundle,3,6,No,457.96,No
SOL-00051,7,Ad-Lite,5.39,2,14.4,Yes,Credit Card,3,App Store,3,5,Yes,113.38,No
SOL-00052,5,Standard,14.34,3,6.2,No,Mobile Carrier Billing,5,App Store,1,8,No,99.61,No
SOL-00053,5,Ad-Lite,4.78,4,12.4,Yes,PayPal,5,Web,2,1,No,36.15,Yes
SOL-00054,10,Standard,13.42,2,5.1,No,PayPal,4,Partner Bundle,2,4,No,233.73,No
SOL-00055,2,Ultra,17.57,2,9.6,No,PayPal,2,App Store,1,8,No,0.0,No
SOL-00056,16,Standard,10.94,3,17.4,Yes,Credit Card,6,Web,1,9,No,95.91,Yes
SOL-00057,6,Ad-Lite,4.32,3,7.7,No,Credit Card,1,App Store,1,10,No,0.0,No
SOL-00058,1,Standard,10.94,4,4.2,No,Gift Card,8,App Store,2,9,Yes,0.0,Yes
SOL-00059,13,Ad-Lite,4.5,3,2.8,Yes,PayPal,4,App Store,3,12,No,52.82,Yes
SOL-00060,3,Standard,10.99,3,8.8,No,Credit Card,2,Partner Bundle,1,11,No,111.39,Yes
SOL-00061,11,Ultra,17.24,3,1.2,No,PayPal,2,Partner Bundle,3,16,Yes,168.18,No
SOL-00062,17,Ad-Lite,6.74,1,0.5,Yes,PayPal,3,Web,2,7,No,274.64,Yes
SOL-00063,8,Ad-Lite,5.54,4,5.7,No,Credit Card,2,App Store,1,1,No,139.56,Yes
SOL-00064,9,Ultra,18.18,3,11.7,Yes,Credit Card,1,App Store,2,34,No,153.11,No
SOL-00065,10,Standard,11.31,2,6.7,Yes,PayPal,3,Web,1,7,No,266.57,Yes
SOL-00066,18,Ad-Lite,6.23,3,2.0,No,Mobile Carrier Billing,3,Web,1,3,No,62.35,No
SOL-00067,30,Ultra,16.59,1,0.7,Yes,Mobile Carrier Billing,6,App Store,3,7,No,243.96,No
SOL-00068,4,Ad-Lite,6.68,1,5.7,Yes,Mobile Carrier Billing,6,App Store,1,24,No,61.8,No
SOL-00069,13,Standard,10.42,2,20.8,Yes,Mobile Carrier Billing,4,Partner Bundle,1,2,No,154.22,No
SOL-00070,21,Ad-Lite,4.09,1,3.2,No,Credit Card,3,App Store,2,10,No,25.53,Yes
SOL-00071,7,Ultra,17.24,2,2.5,Yes,Credit Card,2,Web,2,8,No,90.25,No
