customerId,monthsActive,planTier,monthlyFee,monitoringType,numSensors,hasCamera,alarmTriggersYtd,mobileAppActive,contractLengthMonths,installType,supportCallsYtd,estimatedValue,cancelled
BHS-00001,27,Standard,35.47,Self-Monitored,2,Yes,4,Yes,12,DIY,0,796.43,No
BHS-00002,19,Standard,36.93,Self-Monitored,6,Yes,4,No,24,DIY,1,834.97,No
BHS-00003,17,Standard,30.91,Hybrid,4,Yes,2,Yes,12,DIY,3,855.86,No
BHS-00004,70,Premium,52.76,Self-Monitored,8,No,0,Yes,0,DIY,2,5859.47,No
BHS-00005,54,Basic,20.88,Professional,3,Yes,0,Yes,12,DIY,2,1062.8,Yes
BHS-00006,0,Premium,55.06,Professional,3,No,0,Yes,0,Professional,2,119.25,No
BHS-00007,64,Basic,23.54,Hybrid,1,No,0,No,24,Professional,0,1513.12,Yes
BHS-00008,23,Basic,19.23,Professional,6,Yes,1,Yes,0,Professional,1,505.97,No
BHS-00009,18,Standard,36.86,Hybrid,4,No,2,Yes,36,DIY,0,1118.76,No
BHS-00010,48,Basic,17.48,Professional,6,No,1,No,0,DIY,1,1113.56,Yes
BHS-00011,68,Standard,39.85,Professional,5,No,3,Yes,24,Professional,2,3438.36,No
BHS-00012,33,Premium,64.94,Self-Monitored,5,Yes,2,Yes,24,Professional,1,1534.85,No
BHS-00013,67,Basic,22.39,Professional,4,Yes,0,No,36,Professional,1,2552.29,Yes
BHS-00014,36,Premium,62.9,Self-Monitored,3,No,2,Yes,12,DIY,1,1609.17,No
BHS-00015,36,Premium,66.73,Hybrid,5,No,1,Yes,0,Professional,2,2208.54,No
BHS-00016,42,Basic,19.1,Professional,4,Yes,1,No,24,Professional,2,770.08,Yes
BHS-00017,69,Basic,19.09,Professional,4,No,3,No,12,Professional,1,1141.72,No
BHS-00018,55,Basic,15.82,Self-Monitored,4,Yes,2,Yes,0,Professional,1,970.9,No
BHS-00019,47,Standard,41.59,Hybrid,8,Yes,4,Yes,12,Professional,1,2014.45,No
BHS-00020,7,Standard,34.49,Self-Monitored,5,No,3,Yes,36,DIY,1,255.64,No
BHS-00021,15,Premium,68.68,Professional,7,Yes,3,Yes,12,DIY,0,2129.72,Yes
BHS-00022,4,Basic,15.87,Professional,11,Yes,3,No,12,DIY,1,514.39,No
BHS-00023,29,Standard,42.14,Professional,4,Yes,0,No,24,Professional,2,1732.99,No
BHS-00024,24,Standard,34.33,Professional,2,Yes,1,Yes,24,DIY,2,1483.82,No
BHS-00025,1,Premium,52.24,Self-Monitored,3,No,4,Yes,12,Professional,0,162.01,No
BHS-00026,33,Standard,37.77,Hybrid,6,No,3,Yes,24,Professional,2,1428.71,No
BHS-00027,16,Premium,48.92,Hybrid,5,Yes,1,Yes,12,Professional,0,935.39,No
BHS-00028,59,Standard,35.24,Professional,4,Yes,5,Yes,24,Professional,2,1014.4,Yes
BHS-00029,31,Premium,55.97,Professional,6,Yes,2,Yes,24,Professional,1,2632.14,No
BHS-00030,0,Basic,22.08,Self-Monitored,4,Yes,1,No,0,Professional,2,195.01,Yes
BHS-00031,52,Basic,16.9,Hybrid,1,Yes,3,Yes,12,Professional,0,1003.29,Yes
BHS-00032,46,Basic,24.41,Self-Monitored,3,Yes,4,Yes,24,Professional,2,973.23,Yes
BHS-00033,53,Premium,56.95,Self-Monitored,2,Yes,3,No,12,DIY,0,2963.84,No
BHS-00034,24,Basic,24.98,Hybrid,5,No,1,Yes,0,Professional,0,1821.12,No
BHS-00035,68,Standard,40.07,Hybrid,7,Yes,3,Yes,24,DIY,1,1110.29,Yes
BHS-00036,32,Premium,46.15,Self-Monitored,2,No,2,Yes,36,Professional,0,2231.19,No
