Resident_ID#,Tenure(mo),Care_Level,Monthly_Fee$,Room_Type#,Meals_Included_(per_day),Family_Visits/Month,Has_Companion_Pet?,Activity_Participation_%,Emergency_Calls_YTD#,Distance_to_Family_(mi),Satisfaction_Score_(1-10),Est_LTV,Departed?
MSL-00001,23,Skilled Nursing,6143.14,1BR,1,3,No,33,1,42.2,6,164789.35,No
MSL-00002,0,Skilled Nursing,5754.12,Studio,2,2,No,45,3,34.9,7,0.0,No
MSL-00003,31,Independent Living,2528.66,Studio,1,4,No,46,2,65.6,3,113365.78,Yes
MSL-00004,36,Memory Care,6637.52,1BR,2,5,No,26,3,120.3,1,216115.49,No
MSL-00005,81,Memory Care,4687.28,1BR,3,3,No,40,1,10.8,4,282543.9,No
MSL-00006,62,Skilled Nursing,6199.64,Studio,2,2,No,72,1,28.1,3,294882.9,No
MSL-00007,86,Independent Living,2533.02,1BR,2,2,No,23,2,39.1,9,230181.81,No
MSL-00008,68,Memory Care,6104.25,1BR,2,1,No,65,0,29.1,6,326683.66,No
MSL-00009,81,Skilled Nursing,6664.16,2BR,3,1,No,42,1,38.5,6,618096.76,No
MSL-00010,67,Independent Living,2585.77,1BR,1,2,No,18,1,13.4,2,355459.01,Yes
MSL-00011,44,Memory Care,4791.97,Suite,3,1,No,84,0,53.2,2,126652.05,No
MSL-00012,94,Independent Living,2347.96,Suite,2,1,No,25,1,146.3,9,205470.76,Yes
MSL-00013,15,Independent Living,2119.56,Suite,2,4,No,38,2,22.9,6,37534.81,No
MSL-00014,44,Independent Living,2392.99,2BR,3,2,No,41,2,48.8,8,69127.42,No
MSL-00015,83,Independent Living,2534.63,Studio,3,2,No,5,3,87.7,2,272059.99,Yes
MSL-00016,47,Memory Care,5410.84,Suite,2,3,No,88,3,49.3,8,106022.34,No
MSL-00017,88,Independent Living,3012.46,1BR,3,2,No,58,0,115.1,7,316400.84,No
MSL-00018,55,Independent Living,2795.13,Studio,2,2,No,43,1,44.1,2,68946.15,No
MSL-00019,29,Independent Living,2135.29,Studio,2,4,No,90,2,21.2,10,56907.74,Yes
MSL-00020,7,Memory Care,4545.1,Studio,1,4,Yes,4,0,21.7,1,23862.31,No
MSL-00021,3,Memory Care,5317.11,1BR,1,4,Yes,37,3,47.4,9,10889.77,No
MSL-00022,29,Skilled Nursing,5840.12,Suite,2,4,No,1,1,41.6,9,145907.52,No
MSL-00023,26,Independent Living,2588.32,2BR,3,1,No,6,1,115.9,6,64533.01,Yes
MSL-00024,90,Memory Care,5556.38,1BR,3,2,No,45,0,32.6,4,521805.4,No
MSL-00025,34,Independent Living,2654.44,1BR,1,3,No,75,3,18.6,3,107295.29,No
MSL-00026,21,Skilled Nursing,5920.5,Studio,2,1,No,100,1,55.7,3,75563.36,No
MSL-00027,3,Independent Living,2035.41,Studio,3,3,No,3,1,34.1,1,14442.07,No
MSL-00028,46,Memory Care,5725.13,1BR,2,3,No,50,1,32.1,4,167523.52,Yes
MSL-00029,95,Independent Living,2272.46,2BR,3,1,No,48,0,7.7,2,359494.48,Yes
MSL-00030,38,Memory Care,5693.53,Studio,1,5,Yes,66,2,61.1,6,578565.64,No
MSL-00031,2,Independent Living,2311.67,2BR,2,5,No,32,1,19.8,1,8724.89,Yes
MSL-00032,79,Independent Living,2013.51,2BR,2,1,No,86,4,39.3,8,146810.98,No
MSL-00033,77,Independent Living,2275.05,1BR,3,2,No,55,3,36.4,5,250278.35,Yes
MSL-00034,10,Independent Living,2341.34,2BR,2,4,Yes,25,0,29.7,3,30426.38,No
MSL-00035,8,Independent Living,2640.77,2BR,1,4,No,61,0,79.1,5,13769.2,No
MSL-00036,21,Independent Living,2301.51,Suite,2,3,No,1,0,15.6,5,21033.48,Yes
MSL-00037,90,Skilled Nursing,7027.62,Studio,3,4,No,33,1,74.5,10,794952.62,No
MSL-00038,95,Memory Care,5166.24,2BR,3,0,No,34,1,58.4,4,621799.58,No
MSL-00039,37,Memory Care,4950.89,1BR,3,3,No,86,4,71.6,4,169889.11,No
MSL-00040,45,Independent Living,2206.32,1BR,3,6,No,10,1,15.6,3,131219.1,No
MSL-00041,95,Independent Living,2250.25,Suite,3,3,No,94,1,13.0,6,223240.63,Yes
MSL-00042,57,Independent Living,2781.85,1BR,1,2,No,28,2,18.7,6,288505.69,No
MSL-00043,9,Memory Care,5849.59,1BR,3,2,No,71,0,49.2,9,16241.21,No
MSL-00044,12,Independent Living,2619.92,Studio,2,2,Yes,34,1,28.6,1,99129.44,Yes
MSL-00045,10,Independent Living,1975.11,2BR,3,1,Yes,93,2,27.3,3,14934.57,No
MSL-00046,7,Skilled Nursing,6409.86,Studio,3,6,Yes,6,0,54.0,3,31536.55,No
MSL-00047,69,Independent Living,2429.65,2BR,2,2,No,58,2,74.2,7,358697.45,Yes
MSL-00048,65,Memory Care,6106.9,2BR,3,3,No,30,1,28.1,1,260897.95,No
MSL-00049,84,Independent Living,2174.15,2BR,3,3,Yes,49,0,116.6,8,295987.78,No
MSL-00050,28,Skilled Nursing,7193.61,1BR,3,0,No,74,0,106.3,1,415670.15,No
MSL-00051,52,Independent Living,1930.96,2BR,3,1,No,39,3,19.1,2,144397.74,No
MSL-00052,40,Independent Living,2344.91,Studio,2,4,No,67,0,23.2,1,163110.99,No
MSL-00053,44,Independent Living,2865.66,2BR,3,2,No,64,2,52.7,7,184401.99,Yes
MSL-00054,25,Memory Care,4491.91,1BR,3,2,Yes,23,3,14.4,9,147696.02,No
MSL-00055,32,Independent Living,2534.45,2BR,3,0,No,58,1,9.3,5,46953.21,No
MSL-00056,9,Independent Living,2273.91,2BR,3,5,No,4,1,91.0,8,24798.91,Yes
MSL-00057,15,Independent Living,2675.93,1BR,3,1,No,61,0,47.5,9,29560.54,No
MSL-00058,44,Independent Living,2595.66,1BR,2,2,No,40,3,89.5,4,150671.92,No
MSL-00059,73,Skilled Nursing,7320.21,Studio,2,5,No,1,2,44.2,1,475967.41,No
MSL-00060,79,Memory Care,5128.1,Suite,2,2,No,53,0,31.8,6,833697.87,No
MSL-00061,50,Skilled Nursing,6351.12,Studio,3,2,No,57,0,58.8,4,211798.94,No
