cust_id,mo_active,box_tier,sub_fee,gear_cat,boxes_skip,ref_cnt,app_use,avg_rating,pay_meth,loyalty_pts,gift_sub,ltv_est,churn
RID-00001,29,plus,41.42,camping,1,0,no,3.7,card,456,no,1504.26,no
RID-00002,55,core,21.87,hiking,0,1,yes,2.9,card,186,no,1621.46,yes
RID-00003,5,core,26.86,camping,1,1,no,4.5,card,439,no,384.46,yes
RID-00004,7,plus,40.3,climbing,0,0,yes,4.4,paypal,389,no,276.63,no
RID-00005,53,plus,49.41,camping,4,1,no,3.4,card,479,no,3534.06,yes
RID-00006,50,summit,89.59,fishing,1,0,yes,3.4,card,630,no,3329.83,no
RID-00007,31,plus,49.07,fishing,0,0,yes,4.4,card,544,no,2185.93,no
RID-00008,21,core,19.06,climbing,1,0,yes,5.0,paypal,433,no,372.4,yes
RID-00009,6,core,21.43,fishing,3,1,yes,4.8,card,326,no,277.68,yes
RID-00010,41,core,21.79,fishing,1,0,yes,4.9,paypal,257,no,906.79,yes
RID-00011,32,core,23.48,climbing,1,1,yes,3.8,card,274,no,2027.23,yes
RID-00012,49,plus,42.58,climbing,0,2,no,4.3,paypal,42,no,1442.15,no
RID-00013,22,plus,44.02,hiking,1,0,no,3.9,paypal,301,no,631.65,yes
RID-00014,48,summit,91.51,climbing,0,0,no,3.5,paypal,256,no,8666.76,no
RID-00015,58,plus,32.29,climbing,3,0,yes,4.1,paypal,272,no,2779.22,yes
RID-00016,9,core,28.89,hiking,3,0,yes,3.3,bnpl,232,no,280.24,yes
RID-00017,46,plus,42.7,hiking,0,0,yes,3.4,card,163,no,1591.28,yes
RID-00018,37,core,27.25,camping,1,0,no,3.7,card,612,no,849.63,no
RID-00019,24,core,25.31,climbing,3,0,no,3.7,card,959,no,858.32,no
RID-00020,13,plus,51.21,fishing,1,0,yes,4.0,bnpl,281,no,675.91,yes
RID-00021,9,core,25.16,camping,2,0,yes,2.5,card,1062,no,574.34,yes
RID-00022,6,core,24.95,camping,1,0,yes,3.3,paypal,368,no,253.79,yes
RID-00023,16,plus,42.43,fishing,3,2,no,5.0,bnpl,188,no,599.94,yes
RID-00024,31,plus,39.53,camping,2,1,no,4.0,card,707,no,2248.59,yes
RID-00025,32,core,29.11,climbing,1,1,no,4.4,card,208,no,555.86,no
RID-00026,60,plus,51.87,hiking,1,0,no,4.3,card,110,no,3842.81,no
RID-00027,45,core,19.54,hiking,0,1,yes,3.9,card,304,no,1224.09,no
RID-00028,59,plus,39.42,camping,2,0,yes,3.3,card,113,no,2193.74,yes
RID-00029,45,plus,52.72,camping,3,0,yes,3.6,card,560,no,3427.6,no
RID-00030,34,plus,59.43,hiking,1,1,no,5.0,card,805,no,2701.69,no
RID-00031,49,plus,44.44,hiking,0,0,no,3.6,card,105,no,2291.92,yes
RID-00032,47,core,27.3,climbing,2,0,yes,5.0,card,272,no,2086.68,yes
RID-00033,49,core,23.47,fishing,1,0,yes,3.7,card,369,no,520.33,yes
RID-00034,15,plus,51.21,climbing,0,0,yes,3.8,paypal,84,no,2227.18,yes
RID-00035,44,core,26.5,hiking,0,0,yes,4.1,card,332,no,2032.35,yes
RID-00036,13,core,26.51,hiking,1,0,yes,3.9,bnpl,27,no,797.15,no
RID-00037,19,plus,36.65,camping,1,2,no,3.3,card,156,no,550.68,no
RID-00038,43,core,27.19,climbing,4,0,yes,4.0,card,635,no,1417.41,no
RID-00039,30,plus,36.43,hiking,1,3,no,2.9,card,45,no,1356.0,no
RID-00040,47,plus,41.01,fishing,0,1,yes,4.3,card,958,no,1977.03,no
RID-00041,43,summit,74.38,climbing,1,0,yes,4.2,bnpl,266,no,3532.62,no
RID-00042,45,summit,82.91,camping,1,0,no,4.5,paypal,126,no,4217.21,no
RID-00043,9,plus,49.1,hiking,0,0,yes,3.6,card,377,no,484.42,no
RID-00044,6,summit,73.49,climbing,1,0,no,4.6,bnpl,513,no,796.18,no
RID-00045,15,plus,45.0,fishing,1,0,no,4.3,paypal,538,yes,1254.2,no
RID-00046,21,plus,44.06,hiking,2,0,yes,4.1,paypal,357,no,715.64,no
RID-00047,50,plus,38.54,climbing,1,0,no,5.0,card,432,no,1204.69,no
RID-00048,2,summit,70.6,camping,0,2,yes,4.4,card,239,no,336.76,no
RID-00049,32,plus,44.35,fishing,2,0,yes,3.7,card,44,no,960.03,no
RID-00050,47,summit,64.94,hiking,0,0,no,5.0,card,284,no,3574.56,no
RID-00051,22,plus,41.77,climbing,5,0,yes,4.4,bnpl,571,no,819.55,yes
RID-00052,19,summit,75.77,hiking,2,0,no,5.0,card,215,no,2831.04,no
RID-00053,12,core,29.74,fishing,1,2,yes,2.6,card,609,yes,493.38,yes
RID-00054,26,core,20.88,climbing,0,0,no,3.8,paypal,310,no,538.27,no
RID-00055,37,core,28.01,camping,2,0,yes,3.8,card,112,no,1062.02,yes
RID-00056,35,plus,40.38,hiking,0,1,yes,2.6,card,932,no,1068.08,no
RID-00057,51,core,24.8,camping,1,1,no,4.1,card,234,no,932.49,no
RID-00058,0,core,23.61,fishing,1,0,no,3.7,card,554,yes,268.28,yes
RID-00059,17,core,31.09,climbing,3,1,no,2.5,card,904,no,859.27,yes
RID-00060,21,plus,39.95,hiking,0,1,yes,3.4,paypal,1355,no,1821.17,no
RID-00061,23,core,27.1,camping,0,2,no,5.0,card,196,yes,589.99,yes
RID-00062,44,plus,45.95,fishing,2,0,yes,4.7,bnpl,831,no,3838.87,no
RID-00063,6,plus,41.39,fishing,0,1,yes,3.5,card,129,yes,306.29,no
RID-00064,17,plus,44.96,hiking,3,0,yes,3.4,bnpl,1005,no,923.33,no
