PolicyID,policy_age_mo,Coverage Type,PREMIUM,Pet_Species,petAge,VET_VISITS_YTD,Multi_pet_Household,claimsFiled,AutoRenew,discount_applied,ZIPRegion,est_lifetime_val,Status
TPI-00001,39,Wellness Plus,76.79,Dog,11,0,Yes,1,Yes,No,Suburban,4636.89,Lapsed
TPI-00002,0,Comprehensive,50.51,Cat,12,2,No,3,Yes,No,Suburban,244.08,Active
TPI-00003,53,Basic Accident,17.73,Cat,14,2,No,2,Yes,No,Rural,714.06,Lapsed
TPI-00004,56,Comprehensive,49.61,Cat,14,1,No,2,Yes,No,Urban,2302.53,Active
TPI-00005,0,Comprehensive,61.96,Dog,8,3,No,1,No,Yes,Rural,0.0,Active
TPI-00006,2,Comprehensive,36.12,Dog,7,2,No,1,Yes,No,Rural,250.95,Active
TPI-00007,1,Comprehensive,61.76,Dog,6,3,No,2,Yes,Yes,Urban,215.93,Active
TPI-00008,19,Basic Accident,20.78,Dog,1,3,Yes,0,Yes,No,Urban,589.11,Active
TPI-00009,28,Comprehensive,57.77,Dog,7,3,No,2,No,Yes,Suburban,2913.52,Lapsed
TPI-00010,1,Wellness Plus,72.35,Cat,13,1,No,0,Yes,No,Urban,238.0,Lapsed
TPI-00011,34,Basic Accident,28.72,Dog,12,3,Yes,0,Yes,No,Suburban,541.33,Active
TPI-00012,58,Comprehensive,45.21,Dog,5,3,Yes,0,Yes,No,Urban,3975.09,Lapsed
TPI-00013,50,Comprehensive,54.15,Cat,5,0,No,3,Yes,Yes,Rural,1651.62,Active
TPI-00014,39,Basic Accident,16.19,Cat,8,1,No,1,Yes,No,Suburban,460.08,Lapsed
TPI-00015,40,Basic Accident,26.91,Cat,8,1,Yes,0,No,No,Suburban,1745.11,Active
TPI-00016,7,Basic Accident,14.93,Cat,3,2,No,0,Yes,Yes,Suburban,270.7,Active
TPI-00017,3,Basic Accident,22.96,Dog,13,3,No,1,Yes,No,Suburban,245.56,Active
TPI-00018,42,Basic Accident,26.89,Dog,9,1,Yes,0,No,No,Suburban,526.7,Active
TPI-00019,22,Comprehensive,65.52,Dog,11,0,No,0,No,Yes,Urban,1963.34,Active
TPI-00020,59,Comprehensive,36.75,Dog,15,9,No,1,No,No,Suburban,1374.09,Active
TPI-00021,41,Wellness Plus,89.56,Cat,11,2,No,0,Yes,No,Rural,5891.31,Active
TPI-00022,31,Basic Accident,15.86,Cat,8,3,No,1,Yes,No,Urban,491.86,Active
TPI-00023,31,Comprehensive,49.79,Dog,3,4,No,1,Yes,Yes,Urban,2269.96,Active
TPI-00024,15,Wellness Plus,86.84,Dog,13,0,No,1,No,Yes,Urban,1698.93,Active
TPI-00025,51,Wellness Plus,65.69,Dog,1,0,No,0,Yes,No,Rural,3227.93,Active
TPI-00026,35,Basic Accident,18.94,Dog,6,1,No,2,Yes,No,Suburban,742.77,Lapsed
TPI-00027,20,Comprehensive,38.97,Dog,7,1,No,2,No,No,Suburban,655.26,Lapsed
TPI-00028,37,Comprehensive,50.96,Cat,13,3,Yes,0,No,No,Urban,3123.86,Active
TPI-00029,48,Wellness Plus,79.65,Other,10,1,No,0,No,Yes,Urban,1698.95,Active
TPI-00030,29,Basic Accident,27.3,Cat,4,2,No,0,Yes,No,Suburban,575.83,Active
TPI-00031,19,Basic Accident,19.79,Cat,13,0,No,1,No,No,Suburban,483.29,Active
TPI-00032,54,Comprehensive,55.85,Dog,4,2,No,0,No,No,Urban,1142.61,Active
TPI-00033,4,Comprehensive,40.09,Dog,4,2,No,0,No,No,Rural,35.93,Active
TPI-00034,35,Comprehensive,43.56,Dog,6,3,No,1,No,No,Suburban,1440.36,Active
TPI-00035,42,Comprehensive,47.72,Cat,8,1,No,1,Yes,No,Rural,3147.42,Active
TPI-00036,42,Comprehensive,55.49,Dog,9,3,No,0,No,Yes,Rural,4346.54,Active
TPI-00037,39,Basic Accident,21.17,Cat,13,4,No,1,No,No,Suburban,357.27,Active
TPI-00038,42,Comprehensive,56.7,Cat,7,3,No,1,Yes,No,Rural,2761.91,Active
TPI-00039,43,Comprehensive,52.22,Dog,5,1,No,1,No,No,Suburban,3347.24,Active
TPI-00040,26,Basic Accident,20.82,Cat,4,2,No,1,No,No,Rural,709.08,Active
TPI-00041,40,Comprehensive,50.58,Dog,5,1,No,0,No,No,Suburban,2600.78,Active
TPI-00042,22,Comprehensive,48.42,Dog,8,1,No,2,Yes,No,Suburban,975.89,Active
TPI-00043,23,Comprehensive,55.67,Dog,6,3,Yes,4,No,No,Urban,1211.83,Lapsed
TPI-00044,43,Wellness Plus,56.45,Dog,6,0,No,0,Yes,No,Suburban,1791.25,Active
