Client Reference Number,Months as Client,Service Tier,Monthly Retainer Fee,Primary Practice Area,Case Load Estimate,Number of Matters Filed,Preferred Contact Method,Has Dedicated Attorney,Average Response Time Hours,Referral Source,Billing Dispute Count,Uses Client Portal,Estimated Lifetime Client Value,Left Firm
VLS-00001,66,Premier Retainer,2022.74,Corporate,3,1,Email,No,9.0,Referral,1,No,137904.73,No
VLS-00002,57,Premier Retainer,2272.01,Family,6,0,Email,No,14.9,Repeat Client,1,Yes,331898.5,No
VLS-00003,79,Signature Retainer,4915.93,Litigation,1,2,Email,Yes,35.5,Repeat Client,1,Yes,478111.38,No
VLS-00004,81,Premier Retainer,1906.93,Corporate,3,1,Phone,Yes,11.0,Web Search,0,No,100746.0,No
VLS-00005,59,Basic Retainer,779.86,Family,0,0,Phone,Yes,11.9,Repeat Client,1,No,29243.09,No
VLS-00006,31,Signature Retainer,4760.84,Corporate,3,0,Phone,Yes,5.9,Referral,0,No,188393.45,No
VLS-00007,50,Premier Retainer,2022.12,Corporate,2,0,Email,Yes,10.5,Repeat Client,0,Yes,64449.8,No
VLS-00008,36,Signature Retainer,3218.55,Real Estate,2,3,Email,Yes,7.9,Web Search,0,Yes,152862.52,No
VLS-00009,53,Basic Retainer,827.01,Real Estate,1,1,Email,Yes,15.3,Advertisement,0,No,67302.08,No
VLS-00010,69,Premier Retainer,2390.94,Real Estate,3,2,Client Portal,Yes,4.8,Advertisement,0,Yes,250200.82,No
VLS-00011,31,Basic Retainer,861.8,Litigation,2,2,Email,No,15.3,Web Search,0,No,18405.15,No
VLS-00012,42,Signature Retainer,4950.86,Family,1,2,Phone,Yes,6.5,Repeat Client,0,Yes,315274.73,No
VLS-00013,3,Premier Retainer,2362.28,Corporate,3,0,Phone,No,14.6,Referral,1,Yes,8009.33,Yes
VLS-00014,62,Signature Retainer,4150.17,Corporate,3,3,Client Portal,Yes,12.1,Repeat Client,0,No,197289.33,No
VLS-00015,41,Premier Retainer,1805.43,Corporate,5,2,Email,No,0.7,Referral,0,Yes,68547.74,No
VLS-00016,39,Basic Retainer,928.62,Family,1,3,Email,Yes,14.9,Referral,0,Yes,46011.79,No
VLS-00017,45,Premier Retainer,1843.34,Corporate,3,0,Client Portal,No,16.0,Advertisement,1,No,61411.05,No
VLS-00018,18,Basic Retainer,990.51,Corporate,3,2,Email,No,3.9,Advertisement,0,Yes,20842.25,Yes
VLS-00019,50,Signature Retainer,5139.98,Corporate,7,0,Phone,No,19.0,Repeat Client,0,Yes,492701.1,No
VLS-00020,63,Premier Retainer,2132.61,Litigation,3,3,Email,No,19.8,Referral,1,No,207430.36,No
VLS-00021,29,Premier Retainer,2617.84,Real Estate,4,1,Client Portal,Yes,16.0,Referral,0,Yes,79981.1,No
VLS-00022,11,Basic Retainer,811.73,Estate Planning,3,0,Phone,No,4.6,Web Search,0,No,9651.18,No
VLS-00023,32,Signature Retainer,3902.7,Litigation,1,1,Email,No,14.6,Repeat Client,1,Yes,98531.57,No
VLS-00024,16,Signature Retainer,4821.0,Real Estate,3,2,Client Portal,Yes,14.0,Repeat Client,0,Yes,61540.86,No
VLS-00025,31,Premier Retainer,1525.33,Corporate,3,0,Phone,Yes,4.6,Repeat Client,1,Yes,24445.62,No
VLS-00026,53,Basic Retainer,790.7,Real Estate,3,1,Phone,No,5.4,Web Search,0,No,47144.99,Yes
VLS-00027,9,Premier Retainer,2183.5,Corporate,1,0,Email,Yes,15.5,Repeat Client,0,Yes,28223.65,Yes
VLS-00028,63,Basic Retainer,906.9,Family,1,1,Email,No,7.8,Referral,1,No,55561.06,No
VLS-00029,19,Basic Retainer,929.41,Family,5,2,Phone,No,15.0,Repeat Client,0,Yes,12343.53,No
VLS-00030,76,Premier Retainer,1687.19,Family,2,2,Email,No,7.5,Web Search,1,Yes,132628.49,No
VLS-00031,62,Premier Retainer,1909.7,Corporate,1,0,Client Portal,Yes,6.6,Referral,0,No,218025.4,No
VLS-00032,23,Signature Retainer,4601.79,Litigation,2,1,Email,No,4.8,Web Search,0,Yes,158552.01,No
VLS-00033,47,Basic Retainer,793.55,Litigation,1,1,Phone,No,11.4,Advertisement,0,No,36354.04,No
VLS-00034,9,Basic Retainer,952.75,Litigation,2,1,Email,No,4.7,Referral,0,No,21007.92,Yes
VLS-00035,8,Premier Retainer,1990.67,Real Estate,2,3,Phone,Yes,6.3,Referral,0,No,55381.05,No
VLS-00036,81,Basic Retainer,977.35,Real Estate,2,2,Email,Yes,19.0,Advertisement,1,No,65142.67,No
VLS-00037,68,Basic Retainer,1017.92,Corporate,2,1,Email,Yes,33.4,Repeat Client,1,No,62932.82,No
VLS-00038,13,Premier Retainer,1973.85,Litigation,2,1,Email,Yes,12.4,Web Search,0,Yes,35871.82,No
VLS-00039,24,Basic Retainer,1081.18,Real Estate,3,0,Phone,No,19.5,Referral,1,No,17287.54,Yes
VLS-00040,16,Premier Retainer,1939.86,Corporate,7,1,Email,Yes,6.9,Web Search,0,Yes,46656.3,No
VLS-00041,33,Premier Retainer,2102.16,Family,3,2,Phone,Yes,7.6,Referral,0,Yes,74088.16,No
VLS-00042,24,Signature Retainer,5012.17,Estate Planning,3,2,Email,No,10.6,Referral,0,No,142050.52,No
VLS-00043,27,Premier Retainer,1939.42,Real Estate,2,0,Phone,Yes,5.3,Referral,0,Yes,40524.21,Yes
VLS-00044,44,Basic Retainer,737.37,Family,4,1,Phone,No,6.5,Web Search,0,No,22530.12,No
VLS-00045,16,Signature Retainer,4887.29,Real Estate,2,2,Email,No,14.6,Referral,1,Yes,31752.99,No
VLS-00046,75,Signature Retainer,4621.39,Family,2,1,Email,Yes,9.3,Referral,0,Yes,676544.66,No
VLS-00047,61,Basic Retainer,851.81,Family,2,2,Email,No,8.2,Referral,0,No,80437.37,Yes
VLS-00048,64,Basic Retainer,851.47,Family,2,1,Phone,No,7.9,Web Search,0,No,72941.02,No
VLS-00049,14,Premier Retainer,1661.26,Family,1,0,Client Portal,Yes,3.9,Referral,0,No,28315.81,No
VLS-00050,60,Basic Retainer,837.25,Litigation,1,3,Email,No,10.3,Referral,0,Yes,18759.03,Yes
VLS-00051,71,Basic Retainer,765.6,Corporate,0,0,Phone,No,5.3,Web Search,0,Yes,39212.12,Yes
VLS-00052,14,Basic Retainer,656.88,Litigation,3,1,Phone,No,2.1,Advertisement,0,Yes,8500.1,Yes
VLS-00053,63,Signature Retainer,3724.61,Family,1,0,Phone,No,3.4,Repeat Client,1,Yes,144835.75,No
VLS-00054,30,Premier Retainer,2333.96,Litigation,0,2,Email,No,8.0,Web Search,0,Yes,33839.77,No
VLS-00055,66,Premier Retainer,2325.86,Real Estate,3,2,Client Portal,No,13.8,Advertisement,2,No,99106.4,No
VLS-00056,40,Signature Retainer,3765.95,Real Estate,2,1,Email,No,16.3,Repeat Client,0,Yes,154387.73,No
