customer_id,cancelled,weekly_box_price,tenure_weeks,estimated_lifetime_value,meal_plan,household_size,dietary_preference,meals_skipped_ytd,referral_count,recipe_rating_avg,delivery_issues_ytd,app_engagement_score,payment_method,auto_renew,boxes_per_week
HTM-000001,No,79.55,97,4602.86,Family,2,Omnivore,4,0,2.6,1,50,paypal,Yes,2
HTM-000002,No,61.44,62,3189.27,Family,3,Vegetarian,2,0,3.7,0,27,card,Yes,2
HTM-000003,No,94.76,16,1053.88,Gourmet,4,Omnivore,2,1,4.5,2,8,card,No,2
HTM-000004,No,92.68,5,887.48,Gourmet,3,Omnivore,3,0,4.1,1,5,card,Yes,1
HTM-000005,Yes,71.97,52,4290.18,Family,4,Omnivore,4,0,4.4,0,28,card,Yes,2
HTM-000006,No,73.15,20,2467.38,Family,2,Omnivore,3,1,2.7,2,62,paypal,No,3
HTM-000007,No,116.9,79,4506.91,Gourmet,1,Omnivore,1,1,3.9,0,45,paypal,No,1
HTM-000008,No,80.96,70,5160.61,Family,2,Pescatarian,2,0,4.7,1,82,bnpl,Yes,2
HTM-000009,No,34.54,89,4666.27,Basic,4,Omnivore,3,0,3.3,0,65,card,Yes,2
HTM-000010,No,39.14,52,2479.38,Basic,4,Omnivore,3,1,3.8,1,37,card,No,2
HTM-000011,No,69.8,60,3657.72,Family,1,Vegetarian,3,0,3.4,2,70,card,No,3
HTM-000012,No,35.57,89,2038.26,Basic,1,Vegetarian,4,0,3.5,0,4,card,Yes,2
HTM-000013,No,41.76,20,427.22,Basic,3,Omnivore,2,1,5.0,0,1,paypal,Yes,1
HTM-000014,No,87.04,50,5735.73,Gourmet,3,Omnivore,2,0,4.5,1,23,paypal,No,2
HTM-000015,No,57.7,58,2577.59,Family,2,Omnivore,7,1,3.6,1,17,card,No,3
HTM-000016,No,32.5,21,969.39,Basic,2,Omnivore,4,0,3.0,1,78,card,No,1
HTM-000017,No,49.88,91,5047.78,Basic,2,Omnivore,2,0,4.1,0,27,card,Yes,3
HTM-000018,No,58.11,13,1085.81,Family,3,Omnivore,1,0,5.0,1,59,card,Yes,2
HTM-000019,No,37.99,102,6814.39,Basic,3,Omnivore,0,0,3.9,0,95,paypal,Yes,3
HTM-000020,No,47.66,37,2730.62,Basic,1,Vegetarian,8,0,4.6,0,33,card,Yes,1
HTM-000021,No,110.64,31,2749.99,Gourmet,1,Vegetarian,5,0,5.0,1,78,card,Yes,1
HTM-000022,No,75.65,70,5250.21,Family,3,Omnivore,5,0,4.6,0,68,card,No,1
HTM-000023,No,63.97,78,5733.8,Family,1,Pescatarian,4,1,3.9,2,65,card,Yes,2
HTM-000024,No,67.48,67,6852.55,Family,1,Pescatarian,2,0,5.0,0,99,card,Yes,1
HTM-000025,Yes,38.56,52,1259.93,Basic,2,Omnivore,2,1,4.8,0,66,bnpl,No,2
HTM-000026,Yes,37.12,60,2176.17,Basic,2,Pescatarian,10,1,3.8,0,84,paypal,No,3
HTM-000027,Yes,43.15,58,1387.54,Basic,2,Pescatarian,1,0,4.8,1,49,card,No,1
HTM-000028,Yes,37.41,37,1054.66,Basic,6,Vegan,4,0,3.5,0,21,card,No,1
HTM-000029,No,98.09,10,2684.74,Gourmet,2,Omnivore,3,0,4.4,0,52,card,No,3
HTM-000030,No,112.09,28,1276.69,Gourmet,4,Vegan,5,2,4.6,1,37,card,Yes,1
HTM-000031,No,76.25,60,2621.31,Family,2,Vegetarian,2,0,3.9,0,17,card,Yes,1
HTM-000032,No,70.73,0,0.0,Family,4,Omnivore,4,0,3.9,0,51,card,Yes,2
HTM-000033,No,111.44,72,10887.93,Gourmet,3,Vegetarian,4,0,3.8,3,71,card,No,2
HTM-000034,No,87.66,57,6382.2,Gourmet,3,Vegetarian,1,0,4.1,2,84,paypal,Yes,1
HTM-000035,Yes,40.55,0,12.33,Basic,3,Omnivore,1,0,4.2,0,6,paypal,No,2
HTM-000036,No,104.03,40,3626.34,Gourmet,6,Omnivore,5,1,4.4,1,13,card,No,1
HTM-000037,Yes,61.71,43,3582.83,Family,4,Omnivore,9,0,4.5,2,70,paypal,Yes,2
HTM-000038,Yes,46.66,42,2373.58,Basic,1,Omnivore,4,1,4.7,1,13,paypal,No,2
HTM-000039,Yes,38.9,75,2472.75,Basic,3,Omnivore,3,0,5.0,0,15,card,No,2
HTM-000040,No,98.72,63,4972.46,Gourmet,2,Omnivore,3,0,3.6,3,63,paypal,Yes,2
HTM-000041,No,61.88,8,379.44,Family,2,Pescatarian,3,0,5.0,1,51,card,No,2
HTM-000042,No,64.31,20,1191.9,Family,4,Pescatarian,3,0,4.2,4,20,paypal,Yes,2
HTM-000043,No,95.0,40,3336.51,Family,2,Omnivore,4,0,3.9,1,85,card,No,2
HTM-000044,No,78.33,59,5748.88,Family,2,Omnivore,5,0,4.3,0,3,paypal,Yes,1
HTM-000045,Yes,37.26,92,2138.67,Basic,1,Vegetarian,3,0,4.0,1,33,card,No,1
HTM-000046,No,50.91,28,461.65,Basic,2,Omnivore,3,0,3.8,1,32,card,Yes,2
HTM-000047,No,78.47,78,5972.28,Family,5,Omnivore,1,1,4.6,0,90,paypal,Yes,1
HTM-000048,No,81.61,50,3346.76,Family,3,Vegetarian,3,1,3.8,0,45,card,Yes,2
HTM-000049,No,92.98,84,7826.51,Gourmet,2,Vegetarian,3,1,4.3,0,43,card,No,2
HTM-000050,No,86.5,15,1708.37,Gourmet,2,Omnivore,4,1,4.2,0,53,paypal,No,1
HTM-000051,Yes,40.37,51,2394.53,Basic,2,Omnivore,5,0,4.0,2,81,card,No,2
HTM-000052,Yes,80.21,70,9449.24,Family,5,Omnivore,3,0,4.4,0,68,card,Yes,1
HTM-000053,No,101.22,65,8010.1,Gourmet,3,Omnivore,3,0,3.9,0,38,card,Yes,1
HTM-000054,No,119.67,63,3797.61,Gourmet,4,Vegan,2,2,3.7,2,61,bnpl,Yes,2
HTM-000055,No,38.32,9,697.6,Basic,2,Omnivore,0,0,3.9,0,93,card,No,2
HTM-000056,No,105.75,1,182.11,Gourmet,5,Omnivore,3,2,4.0,1,23,card,Yes,2
HTM-000057,No,112.2,51,7909.83,Gourmet,3,Omnivore,2,0,4.3,0,64,paypal,Yes,1
HTM-000058,Yes,72.2,3,227.33,Family,3,Pescatarian,2,1,4.9,0,92,bnpl,No,2
HTM-000059,No,40.32,26,799.7,Basic,2,Omnivore,1,0,4.8,0,64,card,Yes,3
HTM-000060,No,98.57,48,6287.69,Gourmet,2,Pescatarian,5,0,3.3,0,31,card,Yes,1
HTM-000061,No,79.54,28,1355.61,Family,2,Omnivore,3,0,3.2,0,65,bnpl,No,1
HTM-000062,No,46.56,80,6133.64,Basic,5,Pescatarian,2,0,5.0,0,47,paypal,No,2
HTM-000063,Yes,27.05,35,396.24,Basic,3,Vegetarian,3,1,3.1,1,29,bnpl,No,2
HTM-000064,No,75.0,98,3072.73,Gourmet,2,Omnivore,5,0,3.7,0,9,bnpl,Yes,1
HTM-000065,No,40.4,38,1133.12,Basic,2,Pescatarian,2,0,3.8,0,24,card,No,2
HTM-000066,No,40.41,19,859.51,Basic,2,Vegetarian,1,0,4.3,1,95,paypal,Yes,3
HTM-000067,Yes,33.79,28,757.52,Basic,3,Pescatarian,7,0,3.2,1,11,paypal,Yes,1
HTM-000068,Yes,89.2,28,3026.23,Gourmet,3,Pescatarian,5,0,3.4,1,43,card,Yes,1
HTM-000069,Yes,61.64,64,5532.6,Family,2,Omnivore,7,1,3.5,0,33,card,No,1
HTM-000070,No,76.55,12,1015.66,Family,2,Omnivore,1,0,3.6,2,31,card,No,3
HTM-000071,No,77.78,24,1866.4,Family,2,Vegetarian,5,0,4.6,2,80,card,Yes,3
HTM-000072,Yes,54.14,4,249.41,Basic,5,Omnivore,4,0,4.6,1,35,paypal,Yes,1
HTM-000073,No,65.38,74,3147.61,Family,1,Pescatarian,4,1,3.6,3,23,card,No,1
HTM-000074,No,65.77,16,1321.59,Family,4,Omnivore,4,0,4.2,1,61,bnpl,Yes,1
HTM-000075,No,98.01,18,2553.22,Gourmet,2,Vegan,2,0,5.0,0,93,card,Yes,2
HTM-000076,No,48.26,14,233.73,Basic,1,Omnivore,5,2,2.8,0,85,paypal,No,1
HTM-000077,No,73.6,34,3826.5,Family,2,Vegetarian,4,0,3.7,1,48,paypal,No,2
HTM-000078,Yes,39.12,62,1126.95,Basic,3,Pescatarian,2,0,3.3,1,45,paypal,No,1
HTM-000079,No,73.23,27,1726.34,Family,1,Vegetarian,4,0,2.8,2,40,paypal,No,2
HTM-000080,No,28.55,79,3119.65,Basic,2,Pescatarian,5,2,4.3,1,30,card,Yes,1
HTM-000081,No,40.64,1,68.9,Basic,5,Vegan,4,0,4.5,1,93,bnpl,Yes,3
HTM-000082,No,31.06,102,3927.14,Basic,3,Omnivore,1,0,4.1,1,0,card,Yes,1
HTM-000083,No,91.07,74,5272.47,Gourmet,5,Omnivore,0,1,3.9,0,24,paypal,No,2
HTM-000084,Yes,37.06,94,8070.52,Basic,4,Omnivore,3,0,3.8,0,44,card,Yes,1
HTM-000085,Yes,43.08,95,5469.88,Basic,6,Vegetarian,4,0,5.0,0,22,card,No,1
HTM-000086,No,46.32,86,5141.76,Basic,2,Vegetarian,1,1,4.3,1,59,card,Yes,1
HTM-000087,No,36.97,26,1327.71,Basic,2,Omnivore,0,0,3.7,1,60,paypal,Yes,1
HTM-000088,No,112.92,89,6392.96,Gourmet,4,Vegetarian,2,0,4.2,0,60,card,No,2
HTM-000089,No,80.7,98,12675.24,Gourmet,3,Vegetarian,5,1,4.7,1,43,card,Yes,3
HTM-000090,No,87.98,87,5073.84,Family,3,Omnivore,2,1,3.6,0,92,paypal,Yes,1
HTM-000091,No,71.76,37,1792.83,Family,3,Omnivore,5,1,3.8,0,85,card,Yes,3
HTM-000092,No,44.94,61,3033.41,Basic,2,Omnivore,3,0,3.1,1,66,paypal,No,1
HTM-000093,No,64.79,90,15293.26,Family,5,Omnivore,4,2,4.3,0,76,paypal,Yes,3
HTM-000094,No,103.51,102,7433.48,Gourmet,2,Omnivore,5,0,5.0,1,64,paypal,Yes,1
HTM-000095,No,111.05,82,17191.62,Gourmet,3,Omnivore,3,0,4.5,1,32,card,No,1
HTM-000096,No,36.76,86,1701.94,Basic,2,Omnivore,0,1,5.0,0,65,card,No,2
HTM-000097,No,30.48,96,7245.48,Basic,2,Pescatarian,5,0,3.6,1,23,paypal,No,1
HTM-000098,No,35.11,45,720.51,Basic,6,Omnivore,4,0,4.3,0,7,bnpl,No,2
HTM-000099,No,85.63,53,3683.88,Family,2,Omnivore,1,0,3.6,1,98,card,Yes,1
HTM-000100,Yes,38.54,52,6350.9,Basic,3,Omnivore,3,3,4.0,2,80,card,No,1
HTM-000101,No,38.53,94,3292.83,Basic,1,Omnivore,2,0,3.9,1,86,card,No,1
HTM-000102,No,92.57,25,2183.38,Gourmet,1,Omnivore,4,1,4.4,0,55,card,No,2
HTM-000103,No,47.19,87,6394.46,Basic,3,Omnivore,1,0,3.9,1,79,paypal,Yes,1
HTM-000104,Yes,99.9,37,4989.36,Gourmet,2,Omnivore,3,0,5.0,0,63,card,Yes,1
