customer_id,churned,monthly_bill,tenure_months,estimated_customer_value,plan_type,num_lines,has_international_plan,data_overage_gb,autopay_enabled,device_financing_active,network_type,support_calls_ytd,days_since_last_upgrade,family_plan_member,satisfaction_score
MRD-000001,No,67.63,2,0.0,Plus,1,Yes,7.67,Yes,No,4G,2,503,No,7
MRD-000002,Yes,36.72,36,1815.25,Basic,2,Yes,1.13,No,Yes,5G,1,64,No,7
MRD-000003,No,69.24,76,2424.26,Plus,1,No,0.83,Yes,No,5G,1,891,No,4
MRD-000004,No,120.78,89,5628.74,Premium,3,No,2.26,Yes,No,5G,0,994,Yes,2
MRD-000005,No,64.04,94,5822.49,Plus,1,Yes,1.7,Yes,Yes,4G,2,540,No,6
MRD-000006,No,102.6,81,14327.07,Premium,1,No,2.48,Yes,Yes,5G,0,659,No,4
MRD-000007,No,56.0,59,2581.39,Plus,1,No,2.99,Yes,No,4G,2,841,No,8
MRD-000008,No,34.1,70,5342.4,Basic,3,Yes,3.57,No,No,5G,4,1441,Yes,8
MRD-000009,No,37.61,5,565.29,Basic,1,No,2.24,Yes,Yes,5G,2,1392,No,2
MRD-000010,No,51.58,5,162.82,Plus,2,Yes,1.27,Yes,Yes,4G,3,592,No,5
MRD-000011,No,55.3,82,3704.29,Plus,1,Yes,1.94,Yes,Yes,5G,0,426,No,10
MRD-000012,No,42.22,67,2399.84,Plus,4,No,1.75,Yes,No,4G,2,931,Yes,4
MRD-000013,No,99.77,45,2816.94,Premium,2,No,1.63,Yes,No,4G,1,696,No,1
MRD-000014,Yes,35.59,54,1791.94,Basic,4,Yes,1.92,Yes,No,4G,0,1479,Yes,8
MRD-000015,No,46.2,44,1838.58,Basic,1,No,2.08,Yes,Yes,5G,0,483,No,3
MRD-000016,No,31.12,32,1448.49,Basic,1,No,7.43,Yes,Yes,5G,2,394,No,4
MRD-000017,No,38.05,48,1332.71,Basic,3,Yes,0.53,Yes,No,5G,3,336,Yes,3
MRD-000018,No,72.1,25,2282.42,Plus,3,No,0.68,Yes,Yes,5G,1,836,Yes,2
MRD-000019,Yes,67.12,27,6226.71,Plus,2,Yes,1.47,Yes,Yes,5G,2,1122,No,2
MRD-000020,No,62.55,83,7772.91,Plus,1,No,6.98,No,Yes,4G,0,626,No,10
MRD-000021,No,41.99,0,128.75,Basic,1,No,10.89,No,Yes,4G,0,347,No,2
MRD-000022,No,46.83,84,2870.08,Basic,1,No,2.35,No,No,5G,1,1451,No,1
MRD-000023,No,67.12,83,5103.07,Plus,5,No,2.27,Yes,No,4G,1,1098,Yes,9
MRD-000024,No,23.44,38,878.47,Basic,1,No,3.18,Yes,No,5G,2,1241,No,7
MRD-000025,No,55.66,93,6839.88,Plus,2,No,3.05,Yes,No,5G,1,936,No,6
MRD-000026,No,106.77,86,7663.34,Premium,5,No,0.69,No,No,5G,1,349,Yes,6
MRD-000027,No,92.05,61,5806.08,Premium,1,No,10.45,Yes,No,4G,1,270,No,8
MRD-000028,No,37.45,54,837.55,Basic,4,Yes,1.18,Yes,No,5G,2,676,Yes,2
MRD-000029,No,96.13,12,452.99,Premium,1,Yes,0.31,Yes,No,5G,0,1177,No,1
MRD-000030,No,30.69,47,1736.18,Basic,2,Yes,4.46,No,No,5G,0,23,No,9
MRD-000031,Yes,58.17,94,6978.08,Plus,2,No,10.37,Yes,No,5G,0,80,No,3
MRD-000032,No,38.65,52,3980.58,Basic,3,No,17.87,No,No,4G,2,1445,Yes,7
