customer_id,churned,monthly_subscription_fee,tenure_months,estimated_account_value,plan_tier,num_seats,integrations_connected,api_calls_per_month,support_tickets_ytd,onboarding_completed,admin_logins_per_week,has_sso,nps_score,days_since_last_login,billing_cycle
VTX-000001,No,159.53,11,675.49,Scale,9,4,52,0,Yes,1.9,No,3,10,annual
VTX-000002,No,48.09,22,2265.75,Growth,3,2,6692,0,Yes,2.2,Yes,77,4,annual
VTX-000003,No,166.92,43,9536.82,Scale,10,1,4063,0,Yes,5.6,No,51,6,monthly
VTX-000004,No,48.13,3,47.03,Growth,3,3,2364,2,Yes,3.2,No,1,0,annual
VTX-000005,Yes,0.0,55,31.32,Free,4,2,1792,2,Yes,4.3,No,6,10,monthly
VTX-000006,No,193.85,10,2180.15,Scale,12,3,2333,3,Yes,1.8,Yes,85,3,annual
VTX-000007,No,264.57,48,15873.4,Scale,11,8,2333,5,Yes,6.6,Yes,48,14,monthly
VTX-000008,No,176.6,37,9017.84,Scale,8,6,9377,2,Yes,4.8,Yes,66,7,annual
VTX-000009,No,0.0,51,281.59,Free,6,2,7532,4,No,6.4,Yes,46,3,annual
VTX-000010,No,47.11,47,2176.22,Growth,3,0,1613,3,Yes,4.4,Yes,81,5,monthly
VTX-000011,No,39.74,31,646.62,Growth,9,0,3966,2,Yes,5.5,No,48,10,annual
VTX-000012,No,138.35,46,7610.73,Scale,8,1,166,2,Yes,0.9,No,33,1,monthly
VTX-000013,No,55.96,21,1082.16,Growth,8,3,2400,1,No,1.8,Yes,39,23,monthly
VTX-000014,No,149.93,35,2219.11,Scale,5,0,3921,2,No,4.8,Yes,74,5,monthly
VTX-000015,No,60.94,55,4151.02,Growth,2,2,3565,1,No,3.4,Yes,55,3,annual
VTX-000016,Yes,0.0,5,178.14,Free,9,1,2031,1,Yes,7.8,No,11,11,annual
VTX-000017,No,31.81,21,1799.75,Growth,4,3,3923,2,Yes,4.5,Yes,40,1,monthly
VTX-000018,No,0.0,1,195.55,Free,7,1,3254,2,Yes,2.0,Yes,66,2,monthly
VTX-000019,No,231.62,32,4751.33,Scale,7,1,4411,2,Yes,2.0,Yes,29,4,monthly
VTX-000020,No,35.02,47,1747.03,Growth,4,1,2203,0,Yes,3.9,No,87,7,monthly
VTX-000021,No,58.03,2,176.23,Growth,4,4,4472,3,Yes,5.1,No,41,13,monthly
VTX-000022,No,63.13,33,1947.28,Growth,10,3,3438,1,Yes,3.7,Yes,28,8,annual
VTX-000023,No,151.58,25,5683.38,Scale,3,6,5179,0,Yes,2.0,Yes,85,1,annual
VTX-000024,No,240.58,47,5526.47,Scale,6,3,1817,1,Yes,3.3,No,10,18,monthly
VTX-000025,No,201.44,13,2277.74,Scale,10,5,3106,2,Yes,0.5,Yes,40,1,monthly
VTX-000026,Yes,0.0,9,39.76,Free,7,2,7084,1,Yes,3.4,No,82,11,monthly
VTX-000027,No,29.84,5,29.69,Growth,10,0,492,0,No,5.2,No,34,2,annual
VTX-000028,Yes,0.0,24,263.08,Free,3,0,2053,1,Yes,2.9,Yes,6,3,annual
VTX-000029,No,0.0,29,88.71,Free,8,0,2816,1,No,2.3,No,22,15,monthly
VTX-000030,No,56.34,56,4970.11,Growth,9,1,2254,1,Yes,3.3,No,95,33,monthly
VTX-000031,No,63.74,28,2521.87,Growth,7,3,4231,1,Yes,7.4,Yes,76,9,annual
VTX-000032,No,197.87,10,1757.31,Scale,4,1,404,0,Yes,3.3,Yes,72,13,annual
VTX-000033,No,0.0,42,0.0,Free,11,1,8349,1,Yes,4.0,No,100,8,monthly
VTX-000034,No,41.24,3,287.91,Growth,3,1,406,4,Yes,2.9,Yes,24,18,annual
VTX-000035,No,63.22,21,2019.67,Growth,5,4,9570,0,Yes,1.7,No,9,6,monthly
VTX-000036,No,0.0,39,49.76,Free,8,2,279,0,Yes,4.6,No,55,4,annual
VTX-000037,No,0.0,15,212.74,Free,9,2,9697,4,Yes,1.8,No,63,9,annual
VTX-000038,No,47.4,36,922.79,Growth,5,6,6901,2,Yes,1.9,No,60,0,monthly
VTX-000039,No,0.0,27,0.0,Free,5,3,10749,6,Yes,6.1,No,70,3,monthly
VTX-000040,No,51.83,58,2230.11,Growth,9,3,2099,0,Yes,8.1,No,97,7,annual
VTX-000041,No,42.53,17,807.51,Growth,7,1,1466,0,Yes,7.1,No,80,25,annual
VTX-000042,No,209.41,55,13087.93,Scale,5,3,2249,0,No,1.1,Yes,35,0,monthly
VTX-000043,No,58.01,38,2085.95,Growth,5,4,346,0,Yes,4.1,No,71,2,annual
VTX-000044,Yes,0.0,45,83.39,Free,3,4,7065,1,No,2.7,No,1,2,monthly
VTX-000045,No,170.97,10,1967.78,Scale,7,2,938,1,Yes,1.4,No,50,19,annual
VTX-000046,No,203.83,1,568.47,Scale,4,1,2337,0,No,1.5,Yes,20,24,annual
VTX-000047,No,56.51,44,3917.56,Growth,2,1,1084,0,No,4.8,No,97,14,annual
VTX-000048,No,0.0,29,332.82,Free,3,4,191,1,No,3.5,Yes,25,17,annual
VTX-000049,No,64.52,18,1653.02,Growth,4,0,5040,0,Yes,2.4,No,58,16,monthly
VTX-000050,Yes,0.0,54,0.0,Free,4,3,1742,0,No,1.9,No,40,9,monthly
VTX-000051,No,0.0,19,307.6,Free,9,1,1579,2,Yes,3.0,Yes,17,27,annual
VTX-000052,Yes,0.0,26,249.42,Free,4,6,3354,1,Yes,3.2,No,47,42,monthly
VTX-000053,No,157.24,44,6944.61,Scale,5,0,4246,4,Yes,3.1,Yes,0,14,monthly
VTX-000054,No,61.97,58,5997.1,Growth,6,1,4331,0,Yes,1.5,No,68,8,annual
VTX-000055,No,48.92,54,2007.51,Growth,5,3,1609,0,Yes,1.1,No,39,1,annual
VTX-000056,No,246.21,39,6122.1,Scale,4,5,2306,2,No,8.9,Yes,21,6,annual
VTX-000057,No,76.98,6,643.6,Growth,12,2,1034,2,Yes,3.2,Yes,62,5,annual
VTX-000058,No,61.16,6,144.22,Growth,8,3,971,0,Yes,2.6,No,43,1,monthly
VTX-000059,No,0.0,42,0.0,Free,6,5,1328,2,Yes,1.9,No,4,11,annual
VTX-000060,Yes,0.0,31,56.12,Free,5,2,1877,0,No,9.4,No,21,18,annual
VTX-000061,No,53.86,8,247.52,Growth,7,1,726,1,No,3.5,No,35,6,monthly
VTX-000062,No,40.03,42,1075.58,Growth,3,7,4980,3,Yes,1.3,No,39,8,monthly
VTX-000063,No,35.23,57,983.23,Growth,10,1,2277,2,Yes,3.1,No,17,2,monthly
VTX-000064,No,163.04,3,945.93,Scale,6,1,2097,2,Yes,3.9,Yes,42,1,monthly
VTX-000065,No,35.99,50,1425.31,Growth,4,1,8738,0,Yes,2.8,Yes,28,8,annual
VTX-000066,No,40.6,21,888.83,Growth,7,1,773,0,No,10.1,No,65,2,annual
