customer_id,churned,monthly_fee,tenure,subscription_tier,payment_method,paperless_billing,lifetime_value_estimate
AUR-00001,No,12.38,47,Plus,Debit Card,Yes,1283.18
AUR-00002,No,14.01,52,Plus,Credit Card,No,431.13
AUR-00003,Yes,20.62,19,Premium,Gift Card,Yes,519.33
AUR-00004,No,14.68,26,Plus,Credit Card,No,412.32
AUR-00005,Yes,7.95,68,Basic,Credit Card,Yes,247.33
AUR-00006,No,18.08,62,Premium,Gift Card,Yes,3191.6
AUR-00007,No,15.08,30,Plus,PayPal,Yes,423.63
AUR-00008,No,18.32,17,Premium,PayPal,No,268.94
AUR-00009,Yes,9.47,21,Basic,PayPal,No,427.22
AUR-00010,Yes,13.07,39,Plus,Debit Card,No,1445.96
AUR-00011,Yes,8.38,41,Basic,Credit Card,Yes,408.97
AUR-00012,No,15.0,13,Premium,Credit Card,No,587.16
AUR-00013,No,14.01,4,Plus,PayPal,Yes,89.85
AUR-00014,No,17.03,36,Premium,PayPal,Yes,971.39
AUR-00015,Yes,14.21,58,Plus,Credit Card,Yes,583.52
AUR-00016,No,7.34,11,Basic,Credit Card,No,89.45
AUR-00017,No,15.85,29,Plus,Credit Card,Yes,448.43
AUR-00018,No,8.7,11,Basic,Credit Card,Yes,187.27
AUR-00019,No,18.73,17,Premium,PayPal,Yes,217.79
AUR-00020,Yes,12.21,44,Plus,Credit Card,Yes,872.05
AUR-00021,No,12.9,20,Plus,Credit Card,Yes,276.97
AUR-00022,No,10.31,19,Basic,PayPal,No,166.29
AUR-00023,No,18.3,72,Premium,Debit Card,Yes,1829.8
AUR-00024,No,15.0,12,Premium,Debit Card,Yes,135.32
AUR-00025,No,17.36,13,Plus,Credit Card,Yes,262.65
AUR-00026,No,9.45,67,Basic,Credit Card,Yes,634.83
AUR-00027,Yes,13.66,40,Plus,Credit Card,Yes,775.03
AUR-00028,No,11.01,3,Basic,Credit Card,Yes,138.2
AUR-00029,No,9.17,31,Basic,Credit Card,Yes,498.79
AUR-00030,No,11.72,41,Plus,Credit Card,Yes,287.05
AUR-00031,No,13.29,18,Plus,Credit Card,No,141.82
