cust_ref,left_us,mo_bill_usd,sex,is_senior,has_partner,has_dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,agreement_type,paperless_billing,payment_method,total_charges
FR-78917-KFLK,No,102.94,Male,1,No,No,14,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),1447.26
FR-74596-NGGQ,No,105.52,Female,1,No,Yes,41,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Mailed check,4328.21
FR-77741-DBWM,No,47.27,Male,1,Yes,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,1276.87
FR-75606-XXGG,No,75.24,Female,0,No,No,56,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,4204.33
FR-91016-KBSZ,Yes,120.0,Female,0,No,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,5521.38
FR-69259-AYFY,Yes,103.07,Female,0,No,Yes,31,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),3223.96
FR-54441-EKHR,No,94.76,Female,0,Yes,Yes,35,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),3310.47
FR-84565-FKXB,Yes,77.45,Male,0,No,Yes,64,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Electronic check,4973.95
FR-12912-HVAJ,No,19.77,Female,0,No,No,56,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,No,Electronic check,1101.59
FR-85356-SFJE,Yes,18.0,Female,0,Yes,Yes,61,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1097.24
FR-15133-XBQW,No,93.37,Female,0,No,No,34,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),3190.04
FR-27779-EDGJ,No,51.21,Female,0,No,Yes,58,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),2933.53
FR-81422-FUXB,No,90.88,Male,0,No,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,5190.63
FR-17052-CFVB,Yes,55.94,Male,0,No,No,48,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,2672.16
FR-17875-EZHG,Yes,55.79,Female,0,No,No,27,No,No phone service,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,1505.69
FR-20377-KAFS,Yes,32.72,Male,0,No,No,53,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,1737.96
FR-53786-PKEU,No,21.19,Male,1,No,No,68,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1460.06
FR-84292-CETY,Yes,120.0,Male,0,No,Yes,46,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,No,Electronic check,5522.34
FR-98625-FPBD,No,56.36,Female,0,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),399.46
FR-30451-LSJA,No,70.09,Female,0,No,No,22,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),1525.96
FR-83586-LRGR,Yes,108.39,Female,1,Yes,No,6,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,633.88
FR-95941-FNLD,No,105.61,Female,0,Yes,No,25,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Mailed check,2643.52
FR-18424-KABD,Yes,50.8,Female,0,No,No,69,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,3513.86
FR-92786-SCQR,Yes,58.8,Female,1,No,No,19,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,1134.2
FR-84764-MRSF,No,51.08,Male,0,No,Yes,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,3070.93
FR-59656-AGKC,No,57.42,Female,0,No,Yes,61,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Mailed check,3492.79
FR-33903-BTUD,No,70.67,Female,0,No,Yes,55,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,3888.25
FR-36127-KUAL,Yes,71.68,Female,1,Yes,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,3289.45
FR-51131-MAUX,No,93.87,Male,0,Yes,No,45,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),4210.17
FR-10468-AFJN,No,45.12,Female,0,Yes,No,35,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),1568.37
FR-94634-AARV,No,42.97,Male,0,Yes,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),1095.98
FR-91423-NRCG,No,43.68,Female,0,No,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),1207.88
FR-66654-EHQN,No,96.62,Female,0,No,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),1136.3
FR-64672-DTNU,Yes,66.36,Female,0,Yes,No,56,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,3727.69
FR-58032-LWFX,Yes,113.12,Female,1,Yes,Yes,50,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),5635.79
