customerID,Churn,MonthlyCharges,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TotalCharges
MW-49541-DFWC,No,73.57,Female,0,Yes,No,6,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),429.06
MW-24284-HAET,No,93.69,Male,0,Yes,Yes,56,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,5247.28
MW-55234-PJCT,No,71.04,Male,1,No,Yes,47,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,3353.7
MW-30423-GNDL,No,73.85,Male,1,Yes,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,2337.51
MW-71851-WRME,Yes,37.96,Male,1,Yes,No,31,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,1174.22
MW-14694-GZYH,No,85.2,Female,1,No,No,62,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),5260.8
MW-65361-RUKF,Yes,58.31,Male,0,No,No,6,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,345.67
MW-81138-JMJM,Yes,18.0,Female,0,Yes,No,50,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),878.36
MW-41779-DHEJ,Yes,88.82,Male,0,Yes,No,14,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),1245.91
MW-55292-GLZW,No,97.99,Female,0,Yes,No,6,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Electronic check,581.55
MW-59793-QNHC,No,108.43,Female,1,Yes,No,38,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,4131.55
MW-49890-QFAZ,No,120.0,Male,0,Yes,Yes,71,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),8538.43
MW-66314-FCQR,No,87.21,Male,0,Yes,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),4622.29
MW-83705-GFDL,Yes,79.42,Male,0,Yes,No,55,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,4381.5
MW-66617-KJYZ,No,96.75,Male,0,Yes,Yes,52,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),5051.74
MW-12159-WPZF,No,37.39,Male,0,Yes,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),2117.4
MW-80800-TQQB,No,18.0,Male,0,No,Yes,37,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),687.52
MW-37287-DYGJ,Yes,49.69,Female,0,No,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,446.66
MW-24920-SXKV,No,102.32,Female,0,No,No,61,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),6226.84
MW-40720-QEPZ,No,44.17,Female,0,No,Yes,32,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),1417.92
